original_varname,new_varname,object_name,quantity_name,annotated_object_name
soil_water__lower_limit_of_volume_fraction,soil_water__lower_limit_of_volume_fraction,soil_water,lower_limit_of_volume_fraction,(soil-as-medium-water)
soil~drained_water__upper_limit_of_volume_fraction,soil~drained_water__upper_limit_of_volume_fraction,soil~drained_water,upper_limit_of_volume_fraction,(soil~drained-as-medium-water)
soil_plant_residue_water__evaporation_volume_flux,soil_plant_residue_water_evaporation__volume_flux,soil_plant_residue_water_evaporation,volume_flux,(soil-contains-(plant-is-source-of-(residue-as-source-water-undergoes-process-evaporation)))
ground~above_biomass~harvested_grain__mass_fraction,above-ground_biomass~harvested_grain__mass_fraction,above-ground_biomass~harvested_grain,mass_fraction,(above-ground-is-location-of-(biomass~harvested-as-medium-grain))
biomass~microbial-and-soil_pool~organic~stabilized-as-nitrogen__mass-per-area_density,biomass~microbial-and-soil_pool~organic~stabilized-as-nitrogen__mass-per-area_density,biomass~microbial-and-soil_pool~organic~stabilized-as-nitrogen,mass-per-area_density,(biomass~microbial-and-soil-has-form-pool~organic~stabilized-expressed-as-nitrogen)
biomass~microbial-or-soil_pool~organic~stabilized_nitrogen__gross_mass-per-area_immobilization_density,biomass~microbial-or-soil_pool~organic~stabilized_nitrogen_immobilization__gross_mass-per-area_density,biomass~microbial-or-soil_pool~organic~stabilized_nitrogen_immobilization,gross_mass-per-area_density,((biomass~microbial-or-soil-has-form-pool~organic~stabilized)-contains-(nitrogen-undergoes-process-immobilization))
crop__count-per-area_planting_density,crop_planting__count-per-area_density,crop_planting,count-per-area_density,(crop-undergoes-process-planting)
crop__planting_or_sowing_date,crop_planting-or-sowing__time,crop_planting-or-sowing,time,(crop-undergoes-process-planting-or-sowing)
crop__potential_transpiration_volume_flux,crop_water_transpiration__potential_volume_flux,crop_water_transpiration,potential_volume_flux,(crop-as-source-water-undergoes-process-transpiration)
crop_from-planting__cumulative_thermal_time,crop_since-planting__cumulative_thermal_time,crop_since-planting,cumulative_thermal_time,(crop-measured-since-planting)
biomass_nitrogen_at-harvest__mass-per-area_accumulation_density,biomass_nitrogen_accumulation_at-harvest__mass-per-area_density,biomass_nitrogen_accumulation_at-harvest,mass-per-area_density,((biomass-as-sink-nitrogen-undergoes-process-accumulation)-measured-at-harvest)
crop_biomass_nitrogen__mass-per-area_application_density,crop_biomass_nitrogen_application__mass-per-area_density,crop_biomass_nitrogen_application,mass-per-area_density,((crop-is-source-of-biomass)-as-sink-nitrogen-undergoes-process-application)
crop_biomass__mass-per-area_density,crop_biomass__mass-per-area_density,crop_biomass,mass-per-area_density,(crop-has-matter-biomass)
crop_canopy_radiation~solar__interception_energy_flux_fraction,crop_canopy_radiation~solar_interception__energy_flux_fraction,crop_canopy_radiation~solar_interception,energy_flux_fraction,((crop-contains-part-canopy)-as-sink-radiation~solar-undergoes-process-interception)
ground~above_crop_biomass~dry__mass-per-area_density,above-ground_crop_biomass~dry__mass-per-area_density,above-ground_crop_biomass~dry,mass-per-area_density,(above-ground-is-location-of-(crop-contains-biomass~dry))
ground~above_crop_nitrogen__mass-per-area_density,above-ground_crop_nitrogen__mass-per-area_density,above-ground_crop_nitrogen,mass-per-area_density,(above-ground-is-location-of-(crop-contains-nitrogen))
ground~above_crop_nitrogen__mass_fraction,above-ground_crop_nitrogen__mass_fraction,above-ground_crop_nitrogen,mass_fraction,(above-ground-is-location-of-(crop-as-medium-nitrogen))
crop_water__time_integral_of_transpiration_volume_flux,crop_water_transpiration__time_integral_of_volume_flux,crop_water_transpiration,time_integral_of_volume_flux,(crop-as-source-water-undergoes-process-transpiration)
crop_root_nitrogen_at-harvest__mass-per-area_accumulation_density,crop_root_nitrogen_accumulation_at-harvest__mass-per-area_density,crop_root_nitrogen_accumulation_at-harvest,mass-per-area_density,(((crop-contains-part-root)-as-sink-water-undergoes-process-accumulation)-measured-at-harvest)
crop_nitrogen__daily_stress_fraction,crop_nitrogen__one-day_stress_fraction,crop_nitrogen,one-day_stress_fraction,(crop-as-main-nitrogen-as-in)
crop_water__daily_stress_fraction,crop_water__one-day_stress_fraction,crop_water,one-day_stress_fraction,(crop-as-main-water-as-in)
crop_biomass~microbial-and-soil_carbon__decomposition_respiration_mass,crop_biomass~microbial-and-soil_decomposition_carbon_respiration__mass,crop_biomass~microbial-and-soil_decomposition_carbon_respiration,mass,((((crop-contains-biomass~microbial)-and-soil)-undergoes-process-decomposition)-as-source-carbon-undergoes-process-respiration)
biomass~removed_nitrogen__mass-per-area_density,biomass~removed_nitrogen__mass-per-area_density,biomass~removed_nitrogen,mass-per-area_density,(biomass~removed-contains-nitrogen)
biomass~microbial-and-soil~stabilized_carbon__decomposition_mass_respiration_rate,biomass~microbial-and-soil~stabilized_decomposition_carbon_respiration__mass_rate,biomass~microbial-and-soil~stabilized_decomposition_carbon_respiration,mass_rate,((biomass~microbial-and-soil~stabilized-undergoes-process-decomposition)-as-source-carbon-undergoes-process-respiration)
soil~no-rock~dry__mass-per-volume_density,soil~no-rock~dry__mass-per-volume_density,soil~no-rock~dry,mass-per-volume_density,(soil~no-rock~dry)
soil_carbon_pool~stabilized_carbon__one-year_change_of_mass,soil_carbon_pool~stabilized_carbon__one-year_change_of_mass,soil_carbon_pool~stabilized_carbon,one-year_change_of_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_carbon_pool~stabilized_carbon__year-end_mass,soil_carbon_pool~stabilized_carbon__year-end_mass,soil_carbon_pool~stabilized_carbon,year-end_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_carbon_pool~stabilized_carbon__year-start_mass,soil_carbon_pool~stabilized_carbon__year-start_mass,soil_carbon_pool~stabilized_carbon,year-start_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_carbon_pool~stabilized_carbon__final_mass,soil_carbon_pool~stabilized_carbon__final_mass,soil_carbon_pool~stabilized_carbon,final_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_carbon_pool~stabilized_carbon__change_of_mass,soil_carbon_pool~stabilized_carbon__change_of_mass,soil_carbon_pool~stabilized_carbon,change_of_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_carbon_pool~stabilized_carbon__initial_mass,soil_carbon_pool~stabilized_carbon__initial_mass,soil_carbon_pool~stabilized_carbon,initial_mass,(soil-contains-((carbon-has-form-pool~stabilized)-contains-carbon))
soil_layer__bulk_mass-per-volume_density,soil_layer_bulk__mass-per-volume_density,soil_layer_bulk,mass-per-volume_density,((soil-has-form-layer)-has-form-bulk)
soil_layer_carbon~stabilized__mass_fraction,soil_layer_carbon~stabilized__mass_fraction,soil_layer_carbon~stabilized,mass_fraction,((soil-has-form-layer)-as-medium-carbon~stabilized)
soil_layer_matter~organic~stabilized_carbon__mass_fraction,soil_layer_matter~organic~stabilized_carbon__mass_fraction,soil_layer_matter~organic~stabilized_carbon,mass_fraction,((soil-has-form-layer)-contains-(matter~organic~stabilized-as-medium-carbon))
soil_carbon_pool~microbial-and-stabilized_carbon~decomposed__mass_addition_rate,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed_addition__mass_rate,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed_addition,mass_rate,(soil-contains-((carbon-has-form-pool~microbial-and-stabilized)-as-sink-carbon~decomposed-undergoes-process-addition))
soil_clay_particle__volume_fraction,soil_clay_particle__volume_fraction,soil_clay_particle,volume_fraction,(soil-as-medium-(clay-has-form-particle))
crop-or-weed__species_identification_code,crop-or-weed__species_identification_code,crop-or-weed,species_identification_code,crop-or-weed
cultivar__line-or-genotype_identification_code,cultivar__line-or-genotype_identification_code,cultivar,line-or-genotype_identification_code,cultivar
crop_residue_pool_carbon__time_integral_of_decomposition_respiration_mass_flux,crop_residue_decomposition_pool_carbon_respiration__time_integral_of_mass_flux,crop_residue_decomposition_pool_carbon_respiration,time_integral_of_mass_flux,(crop-is-source-of-(((residue-undergoes-process-decomposition)-has-form-pool)-contains-(carbon-undergoes-process-respiration)))
crop_residue_pool_root-and-rhizodeposit_biomass__yearly_time_integral_of_addition_mass_flux,crop_residue_pool_root-and-rhizodeposit_biomass_addition__one-year_time_integral_of_mass_flux,crop_residue_pool_root-and-rhizodeposit_biomass_addition,one-year_time_integral_of_mass_flux,(((crop-is-source-of-(residue-has-form-pool))-contains-part-root-and-rhizodeposit)-as-sink-biomass-undergoes-process-addition)
crop_residue_pool_root-and-rhizodeposit_carbon__yearly_time_integral_of_decomposition_mass_flux,crop_residue_pool_root-and-rhizodeposit-as-carbon_decomposition__one-year_time_integral_of_mass_flux,crop_residue_pool_root-and-rhizodeposit-as-carbon_decomposition,one-year_time_integral_of_mass_flux,((crop-is-source-of-(residue-has-form-pool))-contains-(root-and-rhizodeposit-expressed-as-carbon-undergoes-process-decomposition))
crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,crop_nitrogen,thermal-time-to-maturity_weighted_stress_fraction,(crop-as-main-nitrogen-as-in)
crop_row__planting_separation_distance,crop_planting_row__separation_distance,crop_planting_row,separation_distance,(crop-undergoes-process-planting-has-abstraction-row)
crops~legume_nitrogen__mass-per-area_fixation_density,crops~legume_nitrogen_fixation__mass-per-area_density,crops~legume_nitrogen_fixation,mass-per-area_density,(crops~legume-as-sink-nitrogen-undergoes-process-fixation)
ground~above_crop_residue~retained__mass-per-area_density,above-ground_crop_residue~retained__mass-per-area_density,above-ground_crop_residue~retained,mass-per-area_density,(above-ground-is-location-of-(crop-is-source-of-residue~retained))
ground~above_crop_residue-as-carbon__decomposition_mass,above-ground_crop_residue-as-carbon_decomposition__mass,above-ground_crop_residue-as-carbon_decomposition,mass,(above-ground-is-location-of-(crop-is-source-of-(residue-expressed-as-carbon-undergoes-process-decomposition)))
ground~above_crop_roots-and-rhizodeposits-as-carbon__decomposition_mass,above-ground_crop_roots-and-rhizodeposits-as-carbon_decomposition__mass,above-ground_crop_roots-and-rhizodeposits-as-carbon_decomposition,mass,(above-ground-is-location-of-(crop-contains-(roots-and-rhizodeposits-expressed-as-carbon-undergoes-process-decomposition)))
ground~above_crop_residue_pool_carbon__yearly_time_integral_of_decomposition_mass_flux,above-ground_crop_residue_pool-as-carbon_decomposition__one-year_time_integral_of_mass_flux,above-ground_crop_residue_pool-as-carbon_decomposition,one-year_time_integral_of_mass_flux,(above-ground-is-location-of-(crop-is-source-of-((residue-has-form-pool-expressed-as-carbon)-undergoes-process-decomposition)))
forage-or-residue~removed_nitrogen__mass_fraction,forage-or-residue~removed_nitrogen__mass_fraction,forage-or-residue~removed_nitrogen,mass_fraction,(forage-or-residue~removed-as-medium-nitrogen)
grain~dry__mass-per-area_yield,grain~dry__mass-per-area_yield,grain~dry,mass-per-area_yield,grain~dry
grain_nitrogen_at-harvest__mass-per-area_density,grain_nitrogen_at-harvest__mass-per-area_density,grain_nitrogen_at-harvest,mass-per-area_density,((grain-contains-nitrogen)-measured-at-harvest)
land__rotation_tillage_year,crop_rotation_land_tilling__year,crop_rotation_land_tilling,year,((crop-undergoes-process-rotation)-contains-part-(land-undergoes-process-tilling))
land_soil~dry_surface__albedo,land_soil~dry_surface__albedo,land_soil~dry_surface,albedo,(land-contains-(soil~dry-has-abstraction-surface))
land_surface~horizontal_radiation~incoming~shortwave__energy_flux,land_surface~horizontal_radiation~incoming~shortwave__energy_flux,land_surface~horizontal_radiation~incoming~shortwave,energy_flux,((land-has-abstraction-surface~horizontal)-is-location-of-radiation~incoming~shortwave)
crop_water__penman-monteith_reference_evapotranspiration_volume_flux,crop_water_evapotranspiration__penman-monteith_reference_volume_flux,crop_water_evapotranspiration,penman-monteith_reference_volume_flux,(crop-as-source-water-undergoes-process-evapotranspiration)
land_surface_water__usdanrcs_runoff_curve_number,land_surface_water_runoff__usdanrcs_curve_number,land_surface_water_runoff,usdanrcs_curve_number,((land-has-abstraction-surface)-as-source-water-undergoes-process-runoff)
land_surface_water_surface__height_flood_index,land_surface_water_surface__height_flood_index,land_surface_water_surface,height_flood_index,((land-has-abstraction-surface)-is-location-of-(water-has-abstraction-surface))
soil_nitrous-oxide-as-nitrogen__denitrification_mass-per-area_emission_density,soil_denitrification_nitrous-oxide-as-nitrogen_emission__mass-per-area_density,soil_denitrification_nitrous-oxide-as-nitrogen_emission,mass-per-area_density,((soil-undergoes-process-denitrification)-as-source-nitrous-oxide-expressed-as-nitrogen-undergoes-process-emission)
soil_nitrous-oxide-as-nitrogen__nitrification_mass-per-area_emission_density,soil_nitrification_nitrous-oxide-as-nitrogen_emission__mass-per-area_density,soil_nitrification_nitrous-oxide-as-nitrogen_emission,mass-per-area_density,((soil-undergoes-process-nitrification)-as-source-nitrous-oxide-expressed-as-nitrogen-undergoes-process-emission)
soil_nitrous-oxide-as-nitrogen__average_of_denitrification_mass_emission_rate,soil_denitrification_nitrous-oxide-as-nitrogen_emission__average_of_mass_rate,soil_denitrification_nitrous-oxide-as-nitrogen_emission,average_of_mass_rate,((soil-undergoes-process-denitrification)-as-source-nitrous-oxide-expressed-as-nitrogen-undergoes-process-emission)
